*EVALUATION : PASA1701BN PALMIRA_ANALISIS SENSIBILIDAD                                DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 11, 2017; 13:37:20

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM   EDAPS   EDAPM
   1 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1778     -99    2301     -99     597     -99  0.2980     -99    4.30     -99    2715     -99     940     -99    1.46     -99   0.655     -99   77.28     -99      68     -99      83     -99       4     -99    3.83     -99     360     -99      11     -99    5.58     -99    2.76     -99    0.33     -99      61     -99       5     -99
   2 PASA1701BN     1  1 BN      23     -99      26     -99      34     -99      55     -99    1696     -99    2189     -99     548     -99  0.3093     -99    4.30     -99    2544     -99     850     -99    1.35     -99   0.667     -99   77.51     -99      65     -99      78     -99       3     -99    3.82     -99     306     -99      10     -99    5.29     -99    2.77     -99    0.30     -99      62     -99       5     -99
   3 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1736     -99    2253     -99     567     -99  0.3061     -99    4.30     -99    2639     -99     900     -99    1.43     -99   0.658     -99   77.06     -99      67     -99      81     -99       4     -99    3.84     -99     338     -99      11     -99    5.50     -99    2.76     -99    0.32     -99      61     -99       5     -99
   4 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1790     -99    2329     -99     605     -99  0.2958     -99    4.30     -99    2741     -99     950     -99    1.45     -99   0.653     -99   76.84     -99      69     -99      83     -99       4     -99    3.83     -99     357     -99      11     -99    5.59     -99    2.79     -99    0.33     -99      61     -99       5     -99
   5 PASA1701BN     1  1 BN      23     -99      25     -99      34     -99      55     -99    1798     -99    2309     -99     562     -99  0.3201     -99    4.30     -99    2680     -99     880     -99    1.40     -99   0.671     -99   77.87     -99      68     -99      82     -99       3     -99    3.80     -99     332     -99      10     -99    5.41     -99    2.76     -99    0.31     -99      62     -99       5     -99
   6 PASA1701BN     1  1 BN      23     -99      26     -99      34     -99      55     -99    1824     -99    2346     -99     590     -99  0.3091     -99    4.30     -99    2731     -99     910     -99    1.42     -99   0.668     -99   77.77     -99      70     -99      84     -99       4     -99    3.82     -99     339     -99      11     -99    5.42     -99    2.76     -99    0.31     -99      62     -99       5     -99
   7 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1807     -99    2351     -99     618     -99  0.2923     -99    4.30     -99    2802     -99     990     -99    1.44     -99   0.645     -99   76.87     -99      69     -99      84     -99       5     -99    3.80     -99     360     -99      11     -99    5.57     -99    2.79     -99    0.33     -99      61     -99       5     -99
   8 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1900     -99    2443     -99     628     -99  0.3024     -99    4.30     -99    2917     -99    1020     -99    1.53     -99   0.651     -99   77.80     -99      73     -99      89     -99       5     -99    3.86     -99     386     -99      12     -99    5.58     -99    2.78     -99    0.33     -99      61     -99       5     -99
   9 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1737     -99    2249     -99     571     -99  0.3043     -99    4.30     -99    2671     -99     930     -99    1.39     -99   0.650     -99   77.21     -99      68     -99      82     -99       4     -99    3.94     -99     335     -99      10     -99    5.47     -99    2.58     -99    0.32     -99      61     -99       5     -99
  10 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1805     -99    2345     -99     603     -99  0.2992     -99    4.30     -99    2748     -99     940     -99    1.49     -99   0.657     -99   76.96     -99      69     -99      84     -99       4     -99    3.83     -99     353     -99      11     -99    5.49     -99    2.79     -99    0.32     -99      61     -99       5     -99
  11 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1742     -99    2258     -99     576     -99  0.3021     -99    4.30     -99    2655     -99     910     -99    1.40     -99   0.656     -99   77.12     -99      68     -99      82     -99       4     -99    3.89     -99     324     -99      10     -99    5.41     -99    2.67     -99    0.31     -99      61     -99       5     -99
  12 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1844     -99    2395     -99     620     -99  0.2976     -99    4.30     -99    2811     -99     970     -99    1.48     -99   0.656     -99   77.01     -99      72     -99      86     -99       4     -99    3.89     -99     375     -99      12     -99    5.61     -99    2.69     -99    0.33     -99      61     -99       5     -99
  13 PASA1701BN     1  1 BN      23     -99      25     -99      33     -99      54     -99    1908     -99    2476     -99     641     -99  0.2974     -99    4.30     -99    2927     -99    1020     -99    1.51     -99   0.652     -99   77.04     -99      74     -99      89     -99       4     -99    3.87     -99     369     -99      12     -99    5.52     -99    2.71     -99    0.34     -99      61     -99       5     -99
  14 PASA1701BN     1  1 BN      23     -99      25     -99      34     -99      55     -99    1896     -99    2434     -99     592     -99  0.3203     -99    4.30     -99    2852     -99     960     -99    1.45     -99   0.665     -99   77.90     -99      74     -99      88     -99       4     -99    3.89     -99     351     -99      11     -99    5.48     -99    2.68     -99    0.32     -99      62     -99       5     -99
  15 PASA1701BN     1  1 BN      23     -99      26     -99      34     -99      55     -99    1896     -99    2451     -99     616     -99  0.3076     -99    4.30     -99    2855     -99     960     -99    1.44     -99   0.664     -99   77.35     -99      73     -99      88     -99       4     -99    3.86     -99     346     -99      11     -99    5.43     -99    2.72     -99    0.31     -99      62     -99       5     -99
  16 PASA1701BN     1  1 BN      23     -99      25     -99      34     -99      55     -99    1934     -99    2497     -99     632     -99  0.3060     -99    4.30     -99    2917     -99     980     -99    1.48     -99   0.663     -99   77.43     -99      74     -99      89     -99       4     -99    3.83     -99     356     -99      11     -99    5.46     -99    2.77     -99    0.31     -99      62     -99       5     -99
