*EVALUATION : PASA1701BN SANTANDER_ANALISIS SENSIBILIDAD                              DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 21, 2017; 08:17:42

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM   EDAPS   EDAPM
   1 PASA1701BN     1  1 BN      25     -99      28     -99      38     -99      65     -99     848     -99    1107     -99     228     -99  0.3716     -99    4.30     -99    1499     -99     650     -99    0.69     -99   0.566     -99   76.63     -99      31     -99      40     -99       4     -99    3.65     -99     298     -99       9     -99    4.85     -99    2.59     -99    0.24     -99      72     -99       5     -99
   2 PASA1701BN     1  1 BN      27     -99      30     -99      41     -99      68     -99     793     -99    1030     -99     213     -99  0.3718     -99    4.30     -99    1413     -99     620     -99    0.62     -99   0.561     -99   77.01     -99      29     -99      38     -99       4     -99    3.65     -99     284     -99       9     -99    4.77     -99    2.53     -99    0.22     -99      75     -99       6     -99
   3 PASA1701BN     1  1 BN      27     -99      30     -99      40     -99      67     -99     870     -99    1135     -99     237     -99  0.3678     -99    4.30     -99    1534     -99     660     -99    0.66     -99   0.567     -99   76.65     -99      32     -99      41     -99       4     -99    3.66     -99     308     -99      10     -99    4.85     -99    2.63     -99    0.23     -99      74     -99       6     -99
   4 PASA1701BN     1  1 BN      26     -99      28     -99      38     -99      64     -99    1855     -99    2368     -99     476     -99  0.3901     -99    4.30     -99    2702     -99     850     -99    1.14     -99   0.687     -99   78.35     -99      68     -99      82     -99       3     -99    3.68     -99     314     -99      10     -99    5.00     -99    2.60     -99    0.25     -99      71     -99       6     -99
   5 PASA1701BN     1  1 BN      27     -99      29     -99      39     -99      66     -99     966     -99    1231     -99     249     -99  0.3881     -99    4.30     -99    1654     -99     690     -99    0.69     -99   0.584     -99   78.49     -99      35     -99      45     -99       4     -99    3.66     -99     331     -99      10     -99    4.93     -99    2.57     -99    0.23     -99      73     -99       5     -99
   6 PASA1701BN     1  1 BN      27     -99      29     -99      40     -99      67     -99     882     -99    1135     -99     237     -99  0.3715     -99    4.30     -99    1562     -99     680     -99    0.68     -99   0.565     -99   77.66     -99      32     -99      42     -99       5     -99    3.65     -99     311     -99      10     -99    4.83     -99    2.58     -99    0.23     -99      74     -99       5     -99
   7 PASA1701BN     1  1 BN      27     -99      30     -99      40     -99      67     -99     913     -99    1176     -99     236     -99  0.3867     -99    4.30     -99    1618     -99     710     -99    0.72     -99   0.564     -99   77.63     -99      33     -99      43     -99       5     -99    3.66     -99     325     -99      10     -99    4.97     -99    2.56     -99    0.24     -99      74     -99       6     -99
   8 PASA1701BN     1  1 BN      26     -99      29     -99      39     -99      64     -99     915     -99    1177     -99     245     -99  0.3737     -99    4.30     -99    1588     -99     670     -99    0.71     -99   0.576     -99   77.77     -99      34     -99      43     -99       4     -99    3.68     -99     308     -99      10     -99    4.92     -99    2.65     -99    0.25     -99      71     -99       6     -99
   9 PASA1701BN     1  1 BN      26     -99      28     -99      38     -99      65     -99     897     -99    1162     -99     253     -99  0.3541     -99    4.30     -99    1601     -99     700     -99    0.72     -99   0.560     -99   77.20     -99      33     -99      43     -99       5     -99    3.65     -99     317     -99      10     -99    4.93     -99    2.60     -99    0.24     -99      72     -99       5     -99
  10 PASA1701BN     1  1 BN      26     -99      29     -99      40     -99      67     -99     814     -99    1055     -99     224     -99  0.3630     -99    4.30     -99    1472     -99     660     -99    0.60     -99   0.553     -99   77.12     -99      30     -99      39     -99       4     -99    3.65     -99     297     -99       9     -99    4.76     -99    2.57     -99    0.22     -99      74     -99       5     -99
  11 PASA1701BN     1  1 BN      26     -99      28     -99      38     -99      65     -99     868     -99    1122     -99     225     -99  0.3852     -99    4.30     -99    1525     -99     660     -99    0.66     -99   0.569     -99   77.36     -99      32     -99      41     -99       4     -99    3.65     -99     304     -99       9     -99    4.80     -99    2.61     -99    0.23     -99      72     -99       5     -99
  12 PASA1701BN     1  1 BN      26     -99      29     -99      38     -99      63     -99     953     -99    1231     -99     256     -99  0.3720     -99    4.30     -99    1668     -99     720     -99    0.77     -99   0.571     -99   77.42     -99      35     -99      45     -99       5     -99    3.69     -99     326     -99      10     -99    4.98     -99    2.69     -99    0.25     -99      70     -99       6     -99
  13 PASA1701BN     1  1 BN      25     -99      28     -99      38     -99      64     -99     921     -99    1194     -99     254     -99  0.3630     -99    4.30     -99    1623     -99     700     -99    0.69     -99   0.567     -99   77.11     -99      34     -99      44     -99       5     -99    3.66     -99     319     -99      10     -99    4.90     -99    2.62     -99    0.24     -99      71     -99       5     -99
  14 PASA1701BN     1  1 BN      26     -99      29     -99      38     -99      64     -99     898     -99    1157     -99     236     -99  0.3798     -99    4.30     -99    1550     -99     650     -99    0.72     -99   0.579     -99   77.56     -99      33     -99      42     -99       4     -99    3.68     -99     298     -99       9     -99    4.90     -99    2.64     -99    0.25     -99      71     -99       6     -99
  15 PASA1701BN     1  1 BN      26     -99      29     -99      39     -99      66     -99     836     -99    1074     -99     218     -99  0.3830     -99    4.30     -99    1466     -99     630     -99    0.66     -99   0.570     -99   77.87     -99      31     -99      39     -99       4     -99    3.66     -99     286     -99       9     -99    4.79     -99    2.60     -99    0.24     -99      73     -99       6     -99
  16 PASA1701BN     1  1 BN      27     -99      30     -99      40     -99      66     -99     934     -99    1221     -99     258     -99  0.3623     -99    4.30     -99    1668     -99     730     -99    0.73     -99   0.560     -99   76.45     -99      34     -99      45     -99       5     -99    3.65     -99     328     -99      10     -99    4.91     -99    2.63     -99    0.24     -99      73     -99       6     -99
  17 PASA1701BN     1  1 BN      28     -99      31     -99      41     -99      70     -99     981     -99    1264     -99     247     -99  0.3968     -99    4.30     -99    1722     -99     740     -99    0.73     -99   0.570     -99   77.63     -99      36     -99      46     -99       5     -99    3.63     -99     344     -99      11     -99    4.98     -99    2.51     -99    0.23     -99      77     -99       6     -99
  18 PASA1701BN     1  1 BN      26     -99      29     -99      39     -99      66     -99     887     -99    1152     -99     249     -99  0.3565     -99    4.30     -99    1591     -99     700     -99    0.64     -99   0.558     -99   77.00     -99      32     -99      42     -99       5     -99    3.65     -99     312     -99      10     -99    4.78     -99    2.61     -99    0.22     -99      73     -99       5     -99
  19 PASA1701BN     1  1 BN      24     -99      27     -99      36     -99      62     -99     831     -99    1059     -99     221     -99  0.3758     -99    4.30     -99    1451     -99     620     -99    0.64     -99   0.572     -99   78.45     -99      31     -99      39     -99       4     -99    3.67     -99     282     -99       9     -99    4.76     -99    2.64     -99    0.24     -99      69     -99       5     -99
  20 PASA1701BN     1  1 BN      28     -99      31     -99      42     -99      69     -99     932     -99    1214     -99     248     -99  0.3762     -99    4.30     -99    1683     -99     750     -99    0.68     -99   0.554     -99   76.81     -99      34     -99      45     -99       5     -99    3.64     -99     339     -99      11     -99    4.86     -99    2.60     -99    0.22     -99      76     -99       5     -99
  21 PASA1701BN     1  1 BN      27     -99      30     -99      40     -99      67     -99     959     -99    1248     -99     264     -99  0.3635     -99    4.30     -99    1702     -99     740     -99    0.72     -99   0.563     -99   76.84     -99      35     -99      46     -99       5     -99    3.65     -99     332     -99      10     -99    4.89     -99    2.60     -99    0.23     -99      74     -99       6     -99
  22 PASA1701BN     1  1 BN      26     -99      29     -99      39     -99      66     -99     967     -99    1232     -99     244     -99  0.3968     -99    4.30     -99    1676     -99     710     -99    0.73     -99   0.577     -99   78.49     -99      35     -99      45     -99       5     -99    3.65     -99     323     -99      10     -99    4.92     -99    2.59     -99    0.24     -99      73     -99       6     -99
  23 PASA1701BN     1  1 BN      27     -99      30     -99      39     -99      67     -99    2068     -99    2641     -99     527     -99  0.3927     -99    4.30     -99    3004     -99     940     -99    1.20     -99   0.688     -99   78.28     -99      76     -99      91     -99       3     -99    3.67     -99     350     -99      11     -99    5.04     -99    2.51     -99    0.25     -99      74     -99       6     -99
  24 PASA1701BN     1  1 BN      27     -99      29     -99      39     -99      65     -99    2103     -99    2689     -99     546     -99  0.3855     -99    4.30     -99    3098     -99    1000     -99    1.27     -99   0.679     -99   78.20     -99      77     -99      93     -99       4     -99    3.68     -99     376     -99      12     -99    5.11     -99    2.59     -99    0.25     -99      72     -99       6     -99
  25 PASA1701BN     1  1 BN      26     -99      29     -99      39     -99      66     -99     913     -99    1185     -99     256     -99  0.3567     -99    4.30     -99    1609     -99     700     -99    0.70     -99   0.567     -99   77.00     -99      33     -99      43     -99       4     -99    3.66     -99     308     -99      10     -99    4.85     -99    2.60     -99    0.24     -99      73     -99       6     -99
  26 PASA1701BN     1  1 BN      25     -99      27     -99      37     -99      62     -99     928     -99    1203     -99     253     -99  0.3663     -99    4.30     -99    1620     -99     690     -99    0.72     -99   0.573     -99   77.16     -99      34     -99      44     -99       4     -99    3.68     -99     317     -99      10     -99    4.86     -99    2.67     -99    0.24     -99      69     -99       5     -99
  27 PASA1701BN     1  1 BN      27     -99      29     -99      40     -99      66     -99     962     -99    1238     -99     260     -99  0.3695     -99    4.30     -99    1708     -99     750     -99    0.73     -99   0.563     -99   77.69     -99      35     -99      46     -99       5     -99    3.66     -99     337     -99      11     -99    4.98     -99    2.60     -99    0.24     -99      73     -99       6     -99
  28 PASA1701BN     1  1 BN      25     -99      28     -99      37     -99      64     -99     860     -99    1099     -99     223     -99  0.3856     -99    4.30     -99    1494     -99     630     -99    0.66     -99   0.576     -99   78.20     -99      31     -99      40     -99       4     -99    3.66     -99     292     -99       9     -99    4.76     -99    2.58     -99    0.23     -99      71     -99       5     -99
  29 PASA1701BN     1  1 BN      27     -99      30     -99      40     -99      67     -99    1022     -99    1318     -99     273     -99  0.3746     -99    4.30     -99    1784     -99     760     -99    0.75     -99   0.573     -99   77.53     -99      37     -99      48     -99       5     -99    3.66     -99     345     -99      11     -99    4.99     -99    2.60     -99    0.24     -99      74     -99       6     -99
  30 PASA1701BN     1  1 BN      25     -99      28     -99      38     -99      64     -99     893     -99    1150     -99     238     -99  0.3755     -99    4.30     -99    1565     -99     670     -99    0.65     -99   0.571     -99   77.65     -99      33     -99      42     -99       4     -99    3.67     -99     300     -99       9     -99    4.73     -99    2.63     -99    0.22     -99      71     -99       5     -99
  31 PASA1701BN     1  1 BN      24     -99      27     -99      36     -99      61     -99     895     -99    1138     -99     238     -99  0.3765     -99    4.30     -99    1558     -99     660     -99    0.67     -99   0.574     -99   78.63     -99      33     -99      42     -99       4     -99    3.68     -99     300     -99       9     -99    4.82     -99    2.66     -99    0.25     -99      68     -99       5     -99
  32 PASA1701BN     1  1 BN      26     -99      29     -99      38     -99      63     -99     913     -99    1169     -99     254     -99  0.3596     -99    4.30     -99    1595     -99     680     -99    0.69     -99   0.572     -99   78.04     -99      34     -99      43     -99       5     -99    3.68     -99     314     -99      10     -99    4.95     -99    2.66     -99    0.25     -99      70     -99       6     -99
  33 PASA1701BN     2  1 BN      26     -99      29     -99      39     -99      66     -99    1997     -99    2585     -99     530     -99  0.3767     -99    4.30     -99    2959     -99     960     -99    1.27     -99   0.675     -99   77.26     -99      73     -99      89     -99       4     -99    3.67     -99     343     -99      11     -99    5.10     -99    2.54     -99    0.26     -99      73     -99       5     -99
  34 PASA1701BN     2  1 BN      29     -99      31     -99      42     -99      70     -99    2066     -99    2642     -99     529     -99  0.3906     -99    4.30     -99    3033     -99     970     -99    1.24     -99   0.681     -99   78.20     -99      76     -99      91     -99       4     -99    3.67     -99     369     -99      12     -99    5.21     -99    2.48     -99    0.26     -99      77     -99       6     -99
  35 PASA1701BN     2  1 BN      29     -99      31     -99      41     -99      68     -99    2080     -99    2706     -99     572     -99  0.3637     -99    4.30     -99    3116     -99    1040     -99    1.33     -99   0.668     -99   76.87     -99      77     -99      93     -99       4     -99    3.68     -99     400     -99      12     -99    5.30     -99    2.58     -99    0.27     -99      75     -99       6     -99
  36 PASA1701BN     2  1 BN      27     -99      30     -99      39     -99      65     -99    2088     -99    2661     -99     531     -99  0.3930     -99    4.30     -99    3038     -99     950     -99    1.33     -99   0.687     -99   78.46     -99      77     -99      92     -99       4     -99    3.69     -99     361     -99      11     -99    5.25     -99    2.58     -99    0.27     -99      72     -99       6     -99
  37 PASA1701BN     2  1 BN      28     -99      31     -99      40     -99      67     -99    2088     -99    2646     -99     520     -99  0.4015     -99    4.30     -99    3063     -99     980     -99    1.30     -99   0.682     -99   78.89     -99      76     -99      92     -99       4     -99    3.66     -99     378     -99      12     -99    5.16     -99    2.55     -99    0.25     -99      74     -99       5     -99
  38 PASA1701BN     2  1 BN      28     -99      31     -99      41     -99      68     -99    1991     -99    2549     -99     516     -99  0.3856     -99    4.30     -99    2933     -99     940     -99    1.23     -99   0.679     -99   78.11     -99      73     -99      88     -99       4     -99    3.67     -99     353     -99      11     -99    5.05     -99    2.52     -99    0.24     -99      75     -99       5     -99
  39 PASA1701BN     2  1 BN      28     -99      31     -99      41     -99      69     -99    2101     -99    2675     -99     508     -99  0.4140     -99    4.30     -99    3068     -99     970     -99    1.26     -99   0.685     -99   78.56     -99      77     -99      92     -99       4     -99    3.67     -99     371     -99      12     -99    5.19     -99    2.54     -99    0.25     -99      76     -99       6     -99
  40 PASA1701BN     2  1 BN      28     -99      30     -99      40     -99      65     -99    2178     -99    2780     -99     562     -99  0.3874     -99    4.30     -99    3200     -99    1020     -99    1.41     -99   0.680     -99   78.33     -99      80     -99      96     -99       4     -99    3.69     -99     404     -99      13     -99    5.38     -99    2.63     -99    0.28     -99      72     -99       6     -99
  41 PASA1701BN     2  1 BN      27     -99      29     -99      40     -99      66     -99    2032     -99    2624     -99     554     -99  0.3668     -99    4.30     -99    3037     -99    1000     -99    1.27     -99   0.669     -99   77.45     -99      75     -99      91     -99       4     -99    3.67     -99     363     -99      11     -99    5.15     -99    2.56     -99    0.26     -99      73     -99       5     -99
  42 PASA1701BN     2  1 BN      28     -99      31     -99      41     -99      68     -99    2018     -99    2613     -99     547     -99  0.3690     -99    4.30     -99    3026     -99    1010     -99    1.19     -99   0.667     -99   77.22     -99      74     -99      90     -99       4     -99    3.66     -99     383     -99      12     -99    5.18     -99    2.53     -99    0.25     -99      75     -99       5     -99
  43 PASA1701BN     2  1 BN      27     -99      30     -99      40     -99      67     -99    2030     -99    2599     -99     502     -99  0.4044     -99    4.30     -99    2968     -99     940     -99    1.24     -99   0.684     -99   78.13     -99      75     -99      89     -99       3     -99    3.68     -99     349     -99      11     -99    5.03     -99    2.55     -99    0.24     -99      74     -99       5     -99
  44 PASA1701BN     2  1 BN      27     -99      30     -99      40     -99      65     -99    2225     -99    2840     -99     567     -99  0.3922     -99    4.30     -99    3237     -99    1010     -99    1.46     -99   0.687     -99   78.34     -99      82     -99      98     -99       4     -99    3.70     -99     375     -99      12     -99    5.22     -99    2.64     -99    0.26     -99      72     -99       6     -99
