*Summary of files opened during simulation

Unit  File
Num.  Variable Name
*DSSAT Cropping System Model Ver. 4.6.1.000 -release      SEP 19, 2017; 10:10:09

 Unit  Filename
  101  OPCLR
   21  FILEIO
   14  BATCH 
  102  SIMCDE
   25  DSPRO
   22  DTACDE
  103  RUNLST
   88  OUTINFO
   11  FILEW
   69  OUTO
   92  WARNING.OUT
   10  FILEC
   39  OUTG
   40  OUTPN
   38  OUTPC
  104  OUTS
   65  SEVAL
  105  FILECO2
   52  OUTWTH
   36  OUTM
  106  OUTM2
   47  OUTT
   33  ETPhot.OUT
   32  OUTET
   13  FILESS
   44  SoilOrg.OUT
   55  Mulch.OUT
   83  SWBAL
   48  OUTWAT
    8  FILEA
